"disease","gene","expression"
"COVID-19","TTK",4.63641245320822
"COVID-19","CCNA2",5.8125165424594
"COVID-19","BIRC5",6.25199247879011
"COVID-19","BUB1B",5.37074797185385
"COVID-19","KIF2C",6.17867764626327
"COVID-19","MELK",4.94425706988214
"COVID-19","TTK",5.09843957644215
"COVID-19","CCNA2",5.66059330851409
"COVID-19","BIRC5",5.85624347765214
"COVID-19","BUB1B",4.53610126112864
"COVID-19","KIF2C",4.6804652414038
"COVID-19","MELK",4.91184474077752
"COVID-19","TTK",4.47417479036568
"COVID-19","CCNA2",5.30064480169716
"COVID-19","BIRC5",5.22231545796557
"COVID-19","BUB1B",4.83551219884887
"COVID-19","KIF2C",5.60010136806244
"COVID-19","MELK",4.77455229078205
"COVID-19","TTK",4.86727280098031
"COVID-19","CCNA2",5.69948519690298
"COVID-19","BIRC5",5.37414939861902
"COVID-19","BUB1B",4.97051082816283
"COVID-19","KIF2C",5.37414939861902
"COVID-19","MELK",5.40760121007758
"COVID-19","TTK",5.05709295172663
"COVID-19","CCNA2",6.06658383157427
"COVID-19","BIRC5",6.16481051628666
"COVID-19","BUB1B",5.41942519189241
"COVID-19","KIF2C",5.88481262020428
"COVID-19","MELK",5.52745094581136
"COVID-19","TTK",5.43775046874211
"COVID-19","CCNA2",5.40525076162001
"COVID-19","BIRC5",5.91170082137552
"COVID-19","BUB1B",5.5596474017964
"COVID-19","KIF2C",5.18858667807977
"COVID-19","MELK",4.74990693508512
"COVID-19","TTK",5.2098402653272
"COVID-19","CCNA2",5.74973885171092
"COVID-19","BIRC5",5.31853839363842
"COVID-19","BUB1B",5.08939558751925
"COVID-19","KIF2C",5.93079356908
"COVID-19","MELK",5.04605706493756
"COVID-19","TTK",5.06381177188468
"COVID-19","CCNA2",5.06381177188468
"COVID-19","BIRC5",5.78977409775145
"COVID-19","BUB1B",5.24122574846789
"COVID-19","KIF2C",5.32037059295133
"COVID-19","MELK",5.06381177188468
"COVID-19","TTK",4.94067668842786
"COVID-19","CCNA2",5.43489713881479
"COVID-19","BIRC5",5.29307387059223
"COVID-19","BUB1B",5.53118583727234
"COVID-19","KIF2C",4.99169726104642
"COVID-19","MELK",4.09900310559994
"COVID-19","TTK",5.05189263684445
"COVID-19","CCNA2",5.38455475087042
"COVID-19","BIRC5",5.44090827661052
"COVID-19","BUB1B",5.12689842995646
"COVID-19","KIF2C",5.54627052311959
"COVID-19","MELK",4.61844533841309
"COVID-19","TTK",5.65371402585706
"COVID-19","CCNA2",5.9660963607496
"COVID-19","BIRC5",6.2359297518428
"COVID-19","BUB1B",5.44688185799476
"COVID-19","KIF2C",5.62620032448272
"COVID-19","MELK",5.34614436082252
"COVID-19","TTK",5.00844577018822
"COVID-19","CCNA2",5.37717282277749
"COVID-19","BIRC5",5.45336521952105
"COVID-19","BUB1B",5.77622632958398
"COVID-19","KIF2C",5.88540977001492
"COVID-19","MELK",5.29570910081435
"COVID-19","TTK",6.2833782708872
"COVID-19","CCNA2",8.10035827403913
"COVID-19","BIRC5",8.37267367688707
"COVID-19","BUB1B",6.2833782708872
"COVID-19","KIF2C",6.74079263194735
"COVID-19","MELK",6.3614794787735
"COVID-19","TTK",5.971063656992
"COVID-19","CCNA2",7.80514573436457
"COVID-19","BIRC5",8.18526233509041
"COVID-19","BUB1B",7.01065693626314
"COVID-19","KIF2C",7.23986815760034
"COVID-19","MELK",6.49946318144057
"COVID-19","TTK",7.62243593953076
"COVID-19","CCNA2",9.72536931632658
"COVID-19","BIRC5",10.1723790493098
"COVID-19","BUB1B",8.14293253999624
"COVID-19","KIF2C",8.63586330109105
"COVID-19","MELK",8.05570249604297
"COVID-19","TTK",7.28748813307672
"COVID-19","CCNA2",9.08960846785861
"COVID-19","BIRC5",9.3451637700213
"COVID-19","BUB1B",7.57558637659898
"COVID-19","KIF2C",8.49300322046875
"COVID-19","MELK",7.27561303109809
"COVID-19","TTK",6.17780918956441
"COVID-19","CCNA2",8.19313123328041
"COVID-19","BIRC5",8.77906318954637
"COVID-19","BUB1B",6.98371998623461
"COVID-19","KIF2C",7.27760059657394
"COVID-19","MELK",6.8254602428212
"COVID-19","TTK",6.02081205126974
"COVID-19","CCNA2",7.84897847864928
"COVID-19","BIRC5",7.94467768790761
"COVID-19","BUB1B",6.62329768835902
"COVID-19","KIF2C",6.77711775507311
"COVID-19","MELK",6.42970955248435
"COVID-19","TTK",6.4495777871869
"COVID-19","CCNA2",8.25807642950644
"COVID-19","BIRC5",8.20866756360562
"COVID-19","BUB1B",6.61326617071921
"COVID-19","KIF2C",7.31309991548086
"COVID-19","MELK",6.59383099913662
"COVID-19","TTK",6.46776609111932
"COVID-19","CCNA2",8.36367620493025
"COVID-19","BIRC5",9.70391518698961
"COVID-19","BUB1B",7.51287169855956
"COVID-19","KIF2C",8.09623241445208
"COVID-19","MELK",7.6236916307569
"COVID-19","TTK",6.3839471445298
"COVID-19","CCNA2",8.27851949290258
"COVID-19","BIRC5",8.35590605712639
"COVID-19","BUB1B",6.79916181436389
"COVID-19","KIF2C",7.58297041695571
"COVID-19","MELK",6.82877176670604
"COVID-19","TTK",7.07939891664925
"COVID-19","CCNA2",8.95469656970168
"COVID-19","BIRC5",9.34094218622531
"COVID-19","BUB1B",7.809983025152
"COVID-19","KIF2C",8.09698512669462
"COVID-19","MELK",7.68951402557898
"COVID-19","TTK",6.18626622150175
"COVID-19","CCNA2",7.78729770073005
"COVID-19","BIRC5",7.700501578098
"COVID-19","BUB1B",7.0125153095435
"COVID-19","KIF2C",7.23989488364517
"COVID-19","MELK",6.47032069649682
"COVID-19","TTK",7.29062833932154
"COVID-19","CCNA2",9.4174129042632
"COVID-19","BIRC5",9.60006943840126
"COVID-19","BUB1B",7.89104430914242
"COVID-19","KIF2C",8.34477108407183
"COVID-19","MELK",7.83965590286821
"COVID-19","TTK",6.80887174281351
"COVID-19","CCNA2",8.57326164750602
"COVID-19","BIRC5",8.99162557832307
"COVID-19","BUB1B",7.35765904683842
"COVID-19","KIF2C",7.99202004462858
"COVID-19","MELK",6.93004631322678
"COVID-19","TTK",6.96627926613379
"COVID-19","CCNA2",8.65241064865435
"COVID-19","BIRC5",8.78182190098893
"COVID-19","BUB1B",7.38559870013156
"COVID-19","KIF2C",7.71477714233494
"COVID-19","MELK",7.11163656985945
"COVID-19","TTK",5.70689516415282
"COVID-19","CCNA2",7.2524649375785
"COVID-19","BIRC5",7.77718631962398
"COVID-19","BUB1B",6.01216052295696
"COVID-19","KIF2C",6.70165730685624
"COVID-19","MELK",5.74087544425434
"COVID-19","TTK",6.25231735274897
"COVID-19","CCNA2",8.47750865693243
"COVID-19","BIRC5",8.72852692395731
"COVID-19","BUB1B",7.26603022189814
"COVID-19","KIF2C",7.8367186215484
"COVID-19","MELK",7.60880349220676
"COVID-19","TTK",5.2360775380163
"COVID-19","CCNA2",5.18878357002122
"COVID-19","BIRC5",5.52201256807324
"COVID-19","BUB1B",5.65938501330967
"COVID-19","KIF2C",5.52201256807324
"COVID-19","MELK",5.32512597305853
"COVID-19","TTK",4.84330889139661
"COVID-19","CCNA2",5.22732642114806
"COVID-19","BIRC5",4.96839313868137
"COVID-19","BUB1B",5.22732642114806
"COVID-19","KIF2C",5.39826329454372
"COVID-19","MELK",4.84330889139661
"COVID-19","TTK",5.22274487696537
"COVID-19","CCNA2",5.22274487696537
"COVID-19","BIRC5",5.64484803555332
"COVID-19","BUB1B",5.45229389057222
"COVID-19","KIF2C",5.35938295371144
"COVID-19","MELK",5.02435887232192
"COVID-19","TTK",5.15744481505098
"COVID-19","CCNA2",6.05113203446764
"COVID-19","BIRC5",6.43333679067315
"COVID-19","BUB1B",5.51145802586843
"COVID-19","KIF2C",6.05113203446764
"COVID-19","MELK",5.73483966552366
"COVID-19","TTK",5.40779308005826
"COVID-19","CCNA2",5.77895969279951
"COVID-19","BIRC5",5.93043885172241
"COVID-19","BUB1B",5.37110202403184
"COVID-19","KIF2C",6.0224945088629
"COVID-19","MELK",5.51155859131021
"COVID-19","TTK",5.13865922834374
"COVID-19","CCNA2",5.74027117817473
"COVID-19","BIRC5",5.98061763530353
"COVID-19","BUB1B",5.84180122065359
"COVID-19","KIF2C",5.37461686026664
"COVID-19","MELK",4.77498071324576
"Healthy_Flu","TTK",4.637705891
"Healthy_Flu","CCNA2",4.836643132
"Healthy_Flu","BIRC5",4.095605595
"Healthy_Flu","BUB1B",4.562070305
"Healthy_Flu","KIF2C",4.617986022
"Healthy_Flu","MELK",3.915138028
"Influenza","TTK",4.520724548
"Influenza","CCNA2",5.543375593
"Influenza","BIRC5",4.101825637
"Influenza","BUB1B",4.693484868
"Influenza","KIF2C",4.057578016
"Influenza","MELK",4.827908154
"Influenza","TTK",5.563073214
"Influenza","CCNA2",6.274727437
"Influenza","BIRC5",5.828833627
"Influenza","BUB1B",5.077294599
"Influenza","KIF2C",5.290731016
"Influenza","MELK",5.324919506
"Influenza","TTK",3.727780579
"Influenza","CCNA2",10.91424092
"Influenza","BIRC5",12.12121262
"Influenza","BUB1B",4.419526766
"Influenza","KIF2C",4.980630737
"Influenza","MELK",4.483019528
"Influenza","TTK",4.357597439
"Influenza","CCNA2",4.784706836
"Influenza","BIRC5",4.83547239
"Influenza","BUB1B",4.573996687
"Influenza","KIF2C",4.954164125
"Influenza","MELK",4.936346427
"Influenza","TTK",4.96076051
"Influenza","CCNA2",5.407486399
"Influenza","BIRC5",5.156851665
"Influenza","BUB1B",4.656012456
"Influenza","KIF2C",4.92661027
"Influenza","MELK",5.046271629
"Healthy_Flu","TTK",4.794208073
"Healthy_Flu","CCNA2",4.738221285
"Healthy_Flu","BIRC5",4.39389475
"Healthy_Flu","BUB1B",4.051766089
"Healthy_Flu","KIF2C",4.24723526
"Healthy_Flu","MELK",4.436286995
"Healthy_Flu","TTK",4.74472338
"Healthy_Flu","CCNA2",4.672047492
"Healthy_Flu","BIRC5",4.819194578
"Healthy_Flu","BUB1B",4.217129892
"Healthy_Flu","KIF2C",4.113502072
"Healthy_Flu","MELK",4.785579319
"Influenza","TTK",5.711327564
"Influenza","CCNA2",6.295134978
"Influenza","BIRC5",5.840973155
"Influenza","BUB1B",5.1577934
"Influenza","KIF2C",5.675337248
"Influenza","MELK",5.434601679
"Influenza","TTK",4.365918445
"Influenza","CCNA2",5.078617349
"Influenza","BIRC5",4.675637887
"Influenza","BUB1B",4.196857797
"Influenza","KIF2C",4.957520539
"Influenza","MELK",4.112709123
"Healthy_Flu","TTK",4.467234269
"Healthy_Flu","CCNA2",5.14179188
"Healthy_Flu","BIRC5",5.015736726
