#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADGRD1	MCM6	9606.ENSP00000444425	9606.ENSP00000264156	0	0	0	0	0.142	0	0	0.648	0.685
ALDH1A1	PHGDH	9606.ENSP00000297785	9606.ENSP00000493382	0.048	0	0	0	0.087	0.104	0.218	0.206	0.428
ALDH1A1	BRCA1	9606.ENSP00000297785	9606.ENSP00000418960	0	0	0	0	0	0	0	0.436	0.436
ALDH1A1	TK1	9606.ENSP00000297785	9606.ENSP00000468425	0	0	0	0	0.049	0	0	0.463	0.467
ALDH1A1	MET	9606.ENSP00000297785	9606.ENSP00000317272	0	0	0	0	0.106	0.046	0	0.442	0.482
ALDH1L2	PHGDH	9606.ENSP00000258494	9606.ENSP00000493382	0.048	0	0	0	0.114	0.104	0.218	0.334	0.535
ALDH1L2	PSAT1	9606.ENSP00000258494	9606.ENSP00000365773	0.042	0	0	0	0.138	0	0.116	0.446	0.542
ALDH1L2	GLDC	9606.ENSP00000258494	9606.ENSP00000370737	0	0	0	0	0.055	0	0	0.555	0.562
ALDH1L2	DHFR	9606.ENSP00000258494	9606.ENSP00000396308	0	0	0	0	0.095	0	0.900	0.519	0.952
ANLN	TRIP13	9606.ENSP00000265748	9606.ENSP00000166345	0	0	0	0	0.514	0.292	0	0.327	0.748
ANLN	CDC6	9606.ENSP00000265748	9606.ENSP00000209728	0	0	0	0	0.423	0	0	0.301	0.579
ANLN	AURKA	9606.ENSP00000265748	9606.ENSP00000216911	0	0	0	0	0.541	0	0	0.459	0.741
ANLN	MYBL2	9606.ENSP00000265748	9606.ENSP00000217026	0	0	0	0	0.262	0	0	0.222	0.402
ANLN	OIP5	9606.ENSP00000265748	9606.ENSP00000220514	0	0	0	0	0.347	0	0	0.145	0.418
ANLN	RAD51AP1	9606.ENSP00000265748	9606.ENSP00000228843	0	0	0	0	0.422	0	0	0.159	0.493
ANLN	FBXO5	9606.ENSP00000265748	9606.ENSP00000229758	0	0	0	0	0.279	0	0	0.214	0.409
ANLN	GMNN	9606.ENSP00000265748	9606.ENSP00000230056	0	0	0	0	0.271	0	0	0.275	0.450
ANLN	NCAPH	9606.ENSP00000265748	9606.ENSP00000240423	0	0	0	0	0.433	0	0	0.505	0.707
ANLN	MND1	9606.ENSP00000265748	9606.ENSP00000240488	0	0	0	0	0.454	0	0	0.123	0.500
ANLN	DLGAP5	9606.ENSP00000265748	9606.ENSP00000247191	0	0	0	0	0.828	0	0	0.523	0.914
ANLN	E2F8	9606.ENSP00000265748	9606.ENSP00000250024	0	0	0	0	0.354	0	0	0.291	0.522
ANLN	PIMREG	9606.ENSP00000265748	9606.ENSP00000250056	0	0	0	0	0.348	0	0	0.389	0.585
ANLN	NCAPG	9606.ENSP00000265748	9606.ENSP00000251496	0	0	0	0	0.539	0	0	0.336	0.681
