#node	identifier	node_degree
ABCB9	9606.ENSP00000440288	0
ACOT7	9606.ENSP00000367086	0
ACOXL	9606.ENSP00000407761	0
ADGRD1	9606.ENSP00000444425	1
ADGRE3	9606.ENSP00000253673	0
ALDH1A1	9606.ENSP00000297785	4
ALDH1L2	9606.ENSP00000258494	4
ANLN	9606.ENSP00000265748	109
APOBEC3B	9606.ENSP00000327459	1
ARNTL2	9606.ENSP00000266503	0
ASF1B	9606.ENSP00000263382	97
ASPM	9606.ENSP00000356379	118
AURKA	9606.ENSP00000216911	121
AURKB	9606.ENSP00000313950	123
B4GALT2	9606.ENSP00000310696	0
B9D1	9606.ENSP00000261499	0
BHLHA15	9606.ENSP00000476312	0
BIRC5	9606.ENSP00000301633	121
BRCA1	9606.ENSP00000418960	114
BUB1	9606.ENSP00000302530	124
BUB1B	9606.ENSP00000287598	124
CACNA2D3	9606.ENSP00000419101	0
CAV1	9606.ENSP00000339191	10
CCNA2	9606.ENSP00000481380	128
CCNB1	9606.ENSP00000256442	133
CCNB2	9606.ENSP00000288207	123
CCNE1	9606.ENSP00000262643	59
CD38	9606.ENSP00000226279	10
CDC20	9606.ENSP00000361540	123
CDC25A	9606.ENSP00000303706	98
CDC25C	9606.ENSP00000321656	110
CDC45	9606.ENSP00000405726	126
CDC6	9606.ENSP00000209728	117
CDCA2	9606.ENSP00000328228	108
CDCA3	9606.ENSP00000442068	113
CDCA5	9606.ENSP00000275517	119
CDCA8	9606.ENSP00000362146	124
CDK1	9606.ENSP00000378699	136
CDKN2C	9606.ENSP00000262662	8
CDKN3	9606.ENSP00000335357	98
CDT1	9606.ENSP00000301019	117
CENPA	9606.ENSP00000336868	122
CENPE	9606.ENSP00000265148	114
CENPF	9606.ENSP00000355922	121
CENPM	9606.ENSP00000215980	100
CENPN	9606.ENSP00000377007	97
CENPU	9606.ENSP00000281453	91
CENPW	9606.ENSP00000357308	89
CEP55	9606.ENSP00000360540	117
CHAC2	9606.ENSP00000295304	0
CHEK1	9606.ENSP00000391090	120
CHPF	9606.ENSP00000243776	0
CIT	9606.ENSP00000376306	28
CKAP2L	9606.ENSP00000305204	94
CLSPN	9606.ENSP00000312995	77
CROCC2	9606.ENSP00000397968	0
CTNNAL1	9606.ENSP00000320434	0
DCC	9606.ENSP00000389140	0
DEPDC1	9606.ENSP00000412292	99
DEPDC1B	9606.ENSP00000265036	95
DERL3	9606.ENSP00000384744	6
DHFR	9606.ENSP00000396308	33
DIAPH3	9606.ENSP00000383178	65
DLGAP5	9606.ENSP00000247191	117
DMC1	9606.ENSP00000216024	9
DSCC1	9606.ENSP00000322180	82
DTL	9606.ENSP00000355958	109
E2F1	9606.ENSP00000345571	71
E2F2	9606.ENSP00000355249	32
E2F7	9606.ENSP00000323246	80
E2F8	9606.ENSP00000250024	105
ELL2	9606.ENSP00000237853	0
ESCO2	9606.ENSP00000306999	93
ESPL1	9606.ENSP00000257934	112
EXO1	9606.ENSP00000355506	123
FABP5	9606.ENSP00000297258	0
FAM111B	9606.ENSP00000341565	1
FANCI	9606.ENSP00000310842	103
FBXO43	9606.ENSP00000403293	11
FBXO5	9606.ENSP00000229758	89
FEN1	9606.ENSP00000305480	110
FOXM1	9606.ENSP00000342307	117
GALNT14	9606.ENSP00000314500	0
GAS6	9606.ENSP00000331831	1
GGH	9606.ENSP00000260118	4
GINS1	9606.ENSP00000262460	93
GINS2	9606.ENSP00000253462	105
GLDC	9606.ENSP00000370737	5
GMNN	9606.ENSP00000230056	67
GPRC5D	9606.ENSP00000228887	3
GTSE1	9606.ENSP00000415430	94
H1-2	9606.ENSP00000339566	8
H1-3	9606.ENSP00000244534	10
H1-5	9606.ENSP00000330074	12
H2AC12	9606.ENSP00000366679	7
H2AC14	9606.ENSP00000328484	16
H2BC7	9606.ENSP00000348924	13
H3C12	9606.ENSP00000352252	60
H3C3	9606.ENSP00000484658	14
H3C8	9606.ENSP00000484638	13
HJURP	9606.ENSP00000414109	113
HMGB3	9606.ENSP00000359393	7
HMMR	9606.ENSP00000377492	112
HPDL	9606.ENSP00000335060	1
HSP90B1	9606.ENSP00000299767	9
IFI27	9606.ENSP00000483430	0
IFI27L1	9606.ENSP00000376824	0
IGF1	9606.ENSP00000376637	10
IGHV3-11	9606.ENSP00000474135	4
IGHV3-15	9606.ENSP00000479675	5
IGLL5	9606.ENSP00000431254	9
ITM2C	9606.ENSP00000322730	2
JCHAIN	9606.ENSP00000440066	9
KCNN3	9606.ENSP00000481848	3
KIF11	9606.ENSP00000260731	122
KIF14	9606.ENSP00000356319	105
KIF15	9606.ENSP00000324020	117
KIF18B	9606.ENSP00000465992	87
KIF20A	9606.ENSP00000378356	120
KIF23	9606.ENSP00000260363	122
KIF2C	9606.ENSP00000361298	123
KIF4A	9606.ENSP00000363524	118
KIFC1	9606.ENSP00000393963	103
KNL1	9606.ENSP00000335463	92
LAMC1	9606.ENSP00000258341	1
